,batch_size,conv,dense,drop,epochs,learning_rate,run_id,runtime_hours,training_loss,validation_loss
112,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.0,4,0.02,4112,0.0860671033333,0.687324787889,0.686074597495
113,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.0,4,0.02,4113,0.0603522827778,0.673185798952,0.664661502838
114,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.0,4,0.02,4114,0.0191394811111,0.689254198756,0.686859345436
115,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.0,4,0.05,4115,0.0328678175,0.682225754431,0.674978527001
116,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.0,4,0.05,4116,0.0180517833333,0.666907226188,0.662008578437
117,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.0,4,0.05,4117,0.0915553458333,0.684484138659,0.680585299219
118,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.0,4,0.05,4118,0.0644879963889,0.680599286727,0.668775074823
119,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.0,4,0.05,4119,0.0193259461111,0.691154054233,0.689615280288
120,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.1,4,0.005,4120,0.0285076058333,0.688928681612,0.687981983594
121,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.1,4,0.005,4121,0.0183797377778,0.690935971907,0.690283392157
122,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.1,4,0.005,4122,0.0856917197222,0.690012023279,0.68880773953
123,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.1,4,0.005,4123,0.0612905066667,0.687047899621,0.684821500097
124,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.1,4,0.005,4124,0.0192882202778,0.692354038783,0.692143658229
125,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.1,4,0.01,4125,0.0285612377778,0.689548493283,0.6880384905
126,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.1,4,0.01,4126,0.0181173130556,0.686562862567,0.689942591531
127,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.1,4,0.01,4127,0.08848642,0.689209407568,0.686891019344
128,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.1,4,0.01,4128,0.0601604672222,0.682171765396,0.679531032698
129,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.1,4,0.01,4129,0.0192322127778,0.691053190402,0.691712066105
130,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.1,4,0.02,4130,0.0283079675,0.687357089349,0.686816496508
